Hrapx,Hrapy,Lat,Lon,Globvalue
0,0,10.0,10.0,0.5078797674615917
0,1,10.0,10.14,0.5435738050062575
0,2,10.0,10.28,0.694910749620702
0,3,10.0,10.42,0.04250105655030334
0,4,10.0,10.56,0.09779890780062883
0,5,10.0,10.7,0.09744153275738965
0,6,10.0,10.84,0.3496299850690737
0,7,10.0,10.98,0.9342996291998085
0,8,10.0,11.120000000000001,0.2967483859958032
0,9,10.0,11.26,0.6624804221995613
0,10,10.0,11.4,0.9267837833446656
0,11,10.0,11.54,0.8181946610476782
0,12,10.0,11.68,0.9657637456436302
0,13,10.0,11.82,0.4354030879128772
0,14,10.0,11.96,0.9905466973473549
0,15,10.0,12.1,0.9363554063887971
0,16,10.0,12.24,0.2623874110850303
0,17,10.0,12.38,0.24000798651348565
0,18,10.0,12.52,0.7786873433904056
0,19,10.0,12.66,0.539935044398047
0,20,10.0,12.8,0.018494093338971118
0,21,10.0,12.940000000000001,0.49736932724059746
0,22,10.0,13.08,0.7172043001683658
0,23,10.0,13.22,0.8942577420857161
0,24,10.0,13.36,0.2802903691316607
0,25,10.0,13.5,0.42018023274838434
0,26,10.0,13.64,0.2709394675631627
0,27,10.0,13.780000000000001,0.2120723436625619
0,28,10.0,13.92,0.16704823185291262
1,0,10.0014,10.0,0.40618868398765107
1,1,10.0014,10.14,0.8159708425041864
1,2,10.0014,10.28,0.26818184743093565
1,3,10.0014,10.42,0.5215779436193088
1,4,10.0014,10.56,0.029657847486378786
1,5,10.0014,10.7,0.05239579798463545
1,6,10.0014,10.84,0.8427551293937695
1,7,10.0014,10.98,0.3966855832784456
1,8,10.0014,11.120000000000001,0.4271528829648219
1,9,10.0014,11.26,0.2546665068911641
1,10,10.0014,11.4,0.5836758339240506
1,11,10.0014,11.54,0.24067955787572104
1,12,10.0014,11.68,0.8448204952462799
1,13,10.0014,11.82,0.5640032043689085
1,14,10.0014,11.96,0.16451242530707033
2,0,10.0028,10.0,0.7597623060778257
2,1,10.0028,10.14,0.5326028354300503
2,2,10.0028,10.28,0.32902927481460753
2,3,10.0028,10.42,0.2576493160703155
2,4,10.0028,10.56,0.30341397524064273
2,5,10.0028,10.7,0.16377786349140333
2,6,10.0028,10.84,0.22979514304722137
2,7,10.0028,10.98,0.22584968784350834
2,8,10.0028,11.120000000000001,0.7204650566959246
2,9,10.0028,11.26,0.7203805171880577
2,10,10.0028,11.4,0.7656705510929221
2,11,10.0028,11.54,0.3773579142705551
2,12,10.0028,11.68,0.11923716388986239
2,13,10.0028,11.82,0.3737014274540187
2,14,10.0028,11.96,0.8497725668293161
2,15,10.0028,12.1,0.14984541461686407
3,0,10.0042,10.0,0.39145183892098745
3,1,10.0042,10.14,0.3869375490045296
3,2,10.0042,10.28,0.5896979557957085
3,3,10.0042,10.42,0.1192872377625438
3,4,10.0042,10.56,0.22041849986621875
3,5,10.0042,10.7,0.714110258764847
3,6,10.0042,10.84,0.04647426536919519
3,7,10.0042,10.98,0.11765268433069898
3,8,10.0042,11.120000000000001,0.27432080637719847
3,9,10.0042,11.26,0.8549394764574992
3,10,10.0042,11.4,0.39579983728310786
3,11,10.0042,11.54,0.8835614188193642
3,12,10.0042,11.68,0.43858151368991927
3,13,10.0042,11.82,0.3965777620793779
3,14,10.0042,11.96,0.9152560119503522
3,15,10.0042,12.1,0.3763922353375331
3,16,10.0042,12.24,0.6517649439286773
3,17,10.0042,12.38,0.22390417199531498
3,18,10.0042,12.52,0.7788038154455106
5,99,10.007,23.86,0.14187146755074398
6,0,10.0084,10.0,0.8867720852977419
6,1,10.0084,10.14,0.30137339640968785
6,2,10.0084,10.28,0.9039778083703597
6,3,10.0084,10.42,0.21115323872006453
6,4,10.0084,10.56,0.7797271677928969
6,5,10.0084,10.7,0.16383553685377872
6,6,10.0084,10.84,0.9503793902349309
6,7,10.0084,10.98,0.1514701435577147
6,8,10.0084,11.120000000000001,0.8109394913441809
6,9,10.0084,11.26,0.9869065760184725
6,10,10.0084,11.4,0.7408971473414987
6,11,10.0084,11.54,0.8408847380521567
6,12,10.0084,11.68,0.8430739859198931
6,13,10.0084,11.82,0.13232396302645888
6,14,10.0084,11.96,0.2673557663119197
6,15,10.0084,12.1,0.6522803812157262
7,0,10.0098,10.0,0.29367467200837905
7,1,10.0098,10.14,0.7807498995713211
7,2,10.0098,10.28,0.672227956494433
7,3,10.0098,10.42,0.1365041265770418
7,4,10.0098,10.56,0.8428465564258532
7,5,10.0098,10.7,0.5322599779521949
7,6,10.0098,10.84,0.04889519264281739
7,7,10.0098,10.98,0.4417428352158901
7,8,10.0098,11.120000000000001,0.3456799624821585
7,9,10.0098,11.26,0.5630203588851213
7,10,10.0098,11.4,0.6470122012974354
7,11,10.0098,11.54,0.02492805966464573
7,12,10.0098,11.68,0.04096542771759104
7,13,10.0098,11.82,0.5832258180119336
7,14,10.0098,11.96,0.5508397417727766
7,15,10.0098,12.1,0.7966467930733444
7,16,10.0098,12.24,0.5539794507294286
8,0,10.0112,10.0,0.8076603511894526
8,1,10.0112,10.14,0.9098413050234047
8,2,10.0112,10.28,0.7692035350735097
8,3,10.0112,10.42,0.3478036469951441
8,4,10.0112,10.56,0.5027047933800144
8,5,10.0112,10.7,0.7197796574846236
8,6,10.0112,10.84,0.9584832643737681
8,7,10.0112,10.98,0.5623840094352077
8,8,10.0112,11.120000000000001,0.7933576181813279
8,9,10.0112,11.26,0.5304611016467989
8,10,10.0112,11.4,0.631516783201958
8,11,10.0112,11.54,0.03171698268604972
